CustomerID,Frequency,Monetary,Recency,TotalRevenue,TotalOrders,TotalItems,UniqueProducts,TenureDays,AvgOrderValue,AvgBasketSize,PurchaseFreqMonthly,CLV,MonthlySpendCV,FavouriteDay,FavouriteHourBin,WeekendShopperRatio,Country,R_Score,F_Score,M_Score,RFM_Score,RF_Score,RFM_Segment,Cluster,Cluster_Name
10043,36,47596.67,14,47596.67,36,1926,36,357,1322.1297222222222,53.5,3.0695798319327734,48700.59276638656,0.7290626890634917,Friday,Morning,0.25,United Kingdom,3,4,4,11,34,Champions,1,At-Risk Customers
10051,13,20167.04,74,20167.04,13,892,13,270,1551.3107692307692,68.61538461538461,1.4656296296296296,27283.764337777775,0.6160495334071007,Thursday,Evening,0.23076923076923078,United Kingdom,1,2,3,6,12,At Risk,0,Champions
10052,14,18662.31,39,18662.31,14,708,14,325,1333.0221428571429,50.57142857142857,1.3112615384615385,20975.287990153847,0.7966471777286842,Monday,Night,0.0,United Kingdom,2,3,2,7,23,Loyal Customers,3,Hibernating
10056,14,22724.57,32,22724.57,14,708,14,326,1623.1835714285714,50.57142857142857,1.307239263803681,25462.671563190182,0.8069971377082686,Saturday,Afternoon,0.35714285714285715,United Kingdom,2,3,3,8,23,Loyal Customers,3,Hibernating
10058,29,45863.04,34,45863.04,29,1786,29,309,1581.4841379310344,61.58620689655172,2.8568284789644016,54216.347091262134,0.802592121540366,Friday,Night,0.20689655172413793,United Kingdom,2,4,4,10,24,Loyal Customers,2,Potential Loyalists
10060,11,9399.51,13,9399.51,11,567,11,306,854.5009090909091,51.54545454545455,1.094248366013072,11220.434682352941,0.7230010068906089,Saturday,Afternoon,0.45454545454545453,United Kingdom,3,2,1,6,32,Potential Loyalists,3,Hibernating
10062,13,24163.78,6,24163.78,13,757,13,318,1858.7523076923076,58.23076923076923,1.2444025157232705,27756.432573584905,0.5780835288950039,Saturday,Afternoon,0.6153846153846154,United Kingdom,4,2,3,9,42,Potential Loyalists,3,Hibernating
10063,15,35978.71,12,35978.71,15,1091,15,348,2398.5806666666667,72.73333333333333,1.3120689655172415,37765.239048275864,0.5000548596763895,Friday,Night,0.26666666666666666,United Kingdom,3,3,4,10,33,Champions,2,Potential Loyalists
10064,15,16619.6,4,16619.6,15,912,15,335,1107.9733333333331,60.8,1.362985074626866,18121.81339701493,0.8798064306807455,Monday,Afternoon,0.3333333333333333,United Kingdom,4,3,2,9,43,Champions,3,Hibernating
10068,23,31608.489999999998,26,31608.489999999998,23,1201,23,339,1374.2821739130434,52.21739130434783,2.0652507374631273,34058.84727787611,0.8342563309739204,Friday,Morning,0.17391304347826086,United Kingdom,2,4,4,10,24,Loyal Customers,2,Potential Loyalists
10070,10,17647.64,5,17647.64,10,601,10,367,1764.764,60.1,0.8294277929155314,17564.931714441416,0.7578275898659902,Friday,Night,0.2,United Kingdom,4,1,2,7,41,Potential Loyalists,3,Hibernating
10074,12,19551.2,1,19551.2,12,778,12,371,1629.2666666666667,64.83333333333333,0.9845822102425877,19249.763708894883,0.6407672330840855,Thursday,Evening,0.16666666666666666,United Kingdom,4,2,3,9,42,Potential Loyalists,3,Hibernating
10075,7,8738.96,87,8738.96,7,548,7,270,1248.422857142857,78.28571428571429,0.7891851851851852,11822.841884444444,0.6118105153623199,Monday,Evening,0.2857142857142857,United Kingdom,1,1,1,3,11,At Risk,0,Champions
10079,15,18511.9,4,18511.9,15,857,15,361,1234.1266666666668,57.13333333333333,1.2648199445983381,18731.376265927982,0.961773863098587,Wednesday,Afternoon,0.2,United Kingdom,4,3,2,9,43,Champions,3,Hibernating
10080,12,17159.21,51,17159.21,12,609,12,317,1429.9341666666667,50.75,1.1523028391167194,19772.606400000004,0.6624613307083905,Wednesday,Night,0.3333333333333333,United Kingdom,1,2,2,5,12,At Risk,3,Hibernating
10081,13,24315.91,17,24315.91,13,956,13,311,1870.4546153846154,73.53846153846153,1.272411575562701,28559.857250160774,0.6506300911913576,Friday,Night,0.15384615384615385,United Kingdom,3,2,3,8,32,Potential Loyalists,3,Hibernating
10085,14,15608.69,15,15608.69,14,704,14,319,1114.9064285714287,50.285714285714285,1.3359247648902823,17873.173301567404,0.6824322669125847,Sunday,Night,0.5,United Kingdom,3,3,2,8,33,Champions,3,Hibernating
10088,15,26781.14,5,26781.14,15,954,15,357,1785.4093333333333,63.6,1.2789915966386556,27402.28240672269,0.8718113823482158,Saturday,Afternoon,0.3333333333333333,United Kingdom,4,3,3,10,43,Champions,3,Hibernating
10096,27,36914.69,51,36914.69,27,1535,27,316,1367.210740740741,56.851851851851855,2.6008860759493673,42671.51254177216,0.4208048038487233,Wednesday,Morning,0.1111111111111111,United Kingdom,1,4,4,9,14,Can't Lose Them,2,Potential Loyalists
10098,15,20016.31,53,20016.31,15,970,15,285,1334.4206666666666,64.66666666666667,1.602105263157895,25654.58848,0.7562898024847756,Saturday,Evening,0.3333333333333333,United Kingdom,1,3,3,7,13,At Risk,3,Hibernating
10099,12,12956.710000000001,37,12956.710000000001,12,617,12,299,1079.7258333333334,51.416666666666664,1.2216722408026757,15828.852939130438,0.3722899814245158,Tuesday,Morning,0.08333333333333333,United Kingdom,2,2,1,5,22,Customers Needing Attention,3,Hibernating
10111,26,40100.909999999996,42,40100.909999999996,26,1531,26,317,1542.3426923076922,58.88461538461539,2.4966561514195584,46208.392444164034,0.5417904717474006,Sunday,Morning,0.4230769230769231,United Kingdom,1,4,4,9,14,Can't Lose Them,2,Potential Loyalists
10115,20,26574.81,2,26574.81,20,1202,20,358,1328.7405,60.1,1.7005586592178772,27115.213957541902,0.839774029169573,Wednesday,Morning,0.1,United Kingdom,4,4,3,11,44,Champions,2,Potential Loyalists
10116,18,24915.56,3,24915.56,18,1091,18,363,1384.197777777778,60.611111111111114,1.5094214876033059,25072.054426446288,1.1776349047762154,Monday,Evening,0.2222222222222222,United Kingdom,4,4,3,11,44,Champions,3,Hibernating
10117,6,10684.810000000001,89,10684.810000000001,6,345,6,157,1780.801666666667,57.5,1.1633121019108281,24859.537559235676,0.792075737525093,Sunday,Morning,0.5,United Kingdom,1,1,1,3,11,At Risk,0,Champions
10125,10,7142.889999999999,3,7142.889999999999,10,467,10,342,714.289,46.7,0.8900584795321638,7629.107775438596,0.4661741204844358,Sunday,Evening,0.6,United Kingdom,4,1,1,6,41,Potential Loyalists,3,Hibernating
10126,14,17989.35,3,17989.35,14,965,14,316,1284.9535714285714,68.92857142857143,1.348607594936709,20794.777746835443,0.9436239947388732,Saturday,Morning,0.2857142857142857,United Kingdom,4,3,2,9,43,Champions,3,Hibernating
10132,15,25443.78,2,25443.78,15,916,15,353,1696.252,61.06666666666667,1.2934844192634563,26328.906397733714,1.0879582229651548,Wednesday,Morning,0.2,United Kingdom,4,3,3,10,43,Champions,3,Hibernating
10138,26,43767.44,16,43767.44,26,1848,26,340,1683.363076923077,71.07692307692308,2.327764705882353,47021.67789176472,0.6799603503471914,Friday,Night,0.2692307692307692,United Kingdom,3,4,4,11,34,Champions,2,Potential Loyalists
10141,7,9139.8,54,9139.8,7,512,7,302,1305.685714285714,73.14285714285714,0.7055629139072848,11054.921006622513,1.1463685237573105,Saturday,Night,0.42857142857142855,United Kingdom,1,1,1,3,11,At Risk,3,Hibernating
10142,17,26499.61,1,26499.61,17,1036,17,335,1558.800588235294,60.94117647058823,1.544716417910448,28894.858330746272,0.7848560107051126,Friday,Evening,0.4117647058823529,United Kingdom,4,3,3,10,43,Champions,2,Potential Loyalists
10143,20,32906.63,17,32906.63,20,1248,20,328,1645.3314999999998,62.4,1.8560975609756099,36646.74940975609,0.555197753659277,Tuesday,Morning,0.15,United Kingdom,3,4,4,11,34,Champions,2,Potential Loyalists
10145,12,12525.87,44,12525.87,12,763,12,323,1043.8225,63.583333333333336,1.1308978328173376,14165.479237151705,0.6960408035725146,Sunday,Night,0.3333333333333333,United Kingdom,1,2,1,4,12,At Risk,3,Hibernating
10147,15,23487.260000000002,47,23487.260000000002,15,953,15,298,1565.8173333333334,63.53333333333333,1.5322147651006712,28790.021251006714,0.9609066489723262,Friday,Night,0.26666666666666666,United Kingdom,1,3,3,7,13,At Risk,3,Hibernating
10152,9,9237.32,10,9237.32,9,536,9,348,1026.368888888889,59.55555555555556,0.7872413793103449,9696.00071724138,0.3904297961807669,Friday,Night,0.2222222222222222,United Kingdom,3,1,1,5,31,Potential Loyalists,3,Hibernating
10156,12,20757.25,29,20757.25,12,639,12,324,1729.7708333333333,53.25,1.1274074074074074,23401.877407407406,0.6376179968888734,Tuesday,Morning,0.08333333333333333,United Kingdom,2,2,3,7,22,Customers Needing Attention,3,Hibernating
10158,6,7260.120000000001,18,7260.120000000001,6,342,6,294,1210.0200000000002,57.0,0.6212244897959184,9020.328685714288,0.7747798159071636,Monday,Afternoon,0.16666666666666666,United Kingdom,3,1,1,5,31,Potential Loyalists,3,Hibernating
10164,12,19660.38,82,19660.38,12,663,12,266,1638.365,55.25,1.373233082706767,26998.28423458647,0.7704166844565625,Sunday,Night,0.4166666666666667,United Kingdom,1,2,3,6,12,At Risk,0,Champions
10167,10,13236.56,73,13236.56,10,509,10,278,1323.656,50.9,1.0949640287769784,17392.268477697842,0.7101676788593594,Tuesday,Morning,0.2,United Kingdom,1,1,1,3,11,At Risk,0,Champions
10169,28,44066.25,1,44066.25,28,1826,28,370,1573.794642857143,65.21428571428571,2.3035675675675678,43504.10756756757,0.9715591127382145,Thursday,Night,0.25,United Kingdom,4,4,4,12,44,Champions,2,Potential Loyalists
10172,16,20503.83,17,20503.83,16,980,16,348,1281.489375,61.25,1.3995402298850574,21521.951213793105,0.7648441772678539,Friday,Morning,0.25,United Kingdom,3,3,3,9,33,Champions,3,Hibernating
10173,9,18851.77,118,18851.77,9,618,9,251,2094.641111111111,68.66666666666667,1.0914741035856574,27434.958349003984,0.6297935791400959,Saturday,Night,0.5555555555555556,United Kingdom,1,1,2,4,11,At Risk,0,Champions
10175,14,24432.64,69,24432.64,14,1056,14,290,1745.1885714285713,75.42857142857143,1.4695172413793103,30775.01634206896,1.0485002202591345,Saturday,Night,0.35714285714285715,United Kingdom,1,3,3,7,13,At Risk,0,Champions
10176,16,14412.58,20,14412.58,16,862,16,291,900.78625,53.875,1.6736769759450174,18091.50248247423,1.4663840746952597,Saturday,Afternoon,0.3125,United Kingdom,3,3,2,8,33,Champions,3,Hibernating
10177,15,26878.18,4,26878.18,15,1079,15,335,1791.8786666666667,71.93333333333334,1.362985074626866,29307.64653850747,0.9008964557969802,Tuesday,Afternoon,0.2,United Kingdom,4,3,3,10,43,Champions,3,Hibernating
10181,17,20743.28,19,20743.28,17,879,17,351,1220.1929411764704,51.705882352941174,1.4743019943019944,21587.194639316236,0.7127537025887193,Saturday,Evening,0.6470588235294118,United Kingdom,3,3,3,9,33,Champions,3,Hibernating
10182,13,20373.370000000003,19,20373.370000000003,13,891,13,350,1567.1823076923079,68.53846153846153,1.1306285714285715,21262.813124571432,0.7646669827481921,Wednesday,Morning,0.23076923076923078,United Kingdom,3,2,3,8,32,Potential Loyalists,3,Hibernating
10185,28,48771.18,2,48771.18,28,1982,28,352,1741.827857142857,70.78571428571429,2.4213636363636364,50611.183609090906,0.6119185389074191,Tuesday,Afternoon,0.14285714285714285,United Kingdom,4,4,4,12,44,Champions,2,Potential Loyalists
10186,11,13557.789999999999,19,13557.789999999999,11,702,11,299,1232.5263636363636,63.81818181818182,1.1198662207357861,16563.17568963211,0.5943922882417083,Friday,Night,0.2727272727272727,United Kingdom,3,2,1,6,32,Potential Loyalists,3,Hibernating
10188,12,15730.07,54,15730.07,12,734,12,269,1310.8391666666666,61.166666666666664,1.357918215613383,21360.14858587361,1.0259455798168475,Thursday,Evening,0.16666666666666666,United Kingdom,1,2,2,5,12,At Risk,0,Champions
10189,23,38785.95,16,38785.95,23,1257,23,354,1686.3456521739129,54.65217391304348,1.9777401129943504,40021.84128813559,0.7548567165457711,Saturday,Night,0.43478260869565216,United Kingdom,3,4,4,11,34,Champions,2,Potential Loyalists
10190,20,30838.78,10,30838.78,20,1347,20,351,1541.9389999999999,67.35,1.7344729344729346,32093.417545299148,0.48934209467339007,Wednesday,Afternoon,0.2,United Kingdom,3,4,4,11,34,Champions,2,Potential Loyalists
10191,18,22028.21,39,22028.21,18,1095,18,322,1223.7894444444444,60.833333333333336,1.701614906832298,24989.020337888192,0.7587865739609527,Monday,Morning,0.2777777777777778,United Kingdom,2,4,3,9,24,Loyal Customers,3,Hibernating
10195,16,25264.11,73,25264.11,16,918,16,289,1579.006875,57.375,1.6852595155709345,31932.4363349481,0.8645598740586433,Monday,Night,0.375,United Kingdom,1,3,3,7,13,At Risk,0,Champions
10198,20,34670.31,16,34670.31,20,1203,20,338,1733.5155,60.15,1.8011834319526627,37468.552771597635,0.7409173437385611,Thursday,Morning,0.2,United Kingdom,3,4,4,11,34,Champions,2,Potential Loyalists
10200,19,39306.299999999996,31,39306.299999999996,19,1424,19,335,2068.7526315789473,74.94736842105263,1.72644776119403,42859.120191044785,0.6338498447191941,Saturday,Afternoon,0.3684210526315789,United Kingdom,2,4,4,10,24,Loyal Customers,2,Potential Loyalists
10204,11,19484.1,21,19484.1,11,655,11,344,1771.2818181818182,59.54545454545455,0.9733720930232558,20689.39548837209,0.6426742359124167,Sunday,Evening,0.36363636363636365,United Kingdom,2,2,3,7,22,Customers Needing Attention,3,Hibernating
10210,10,11885.24,74,11885.24,10,478,10,288,1188.524,47.8,1.0569444444444445,15074.446066666667,1.0318160894639121,Saturday,Evening,0.5,United Kingdom,1,1,1,3,11,At Risk,0,Champions
10211,14,17219.940000000002,20,17219.940000000002,14,755,14,347,1229.9957142857145,53.92857142857143,1.228126801152738,18127.088424207497,0.7723541755922829,Friday,Afternoon,0.2857142857142857,United Kingdom,3,3,2,8,33,Champions,3,Hibernating
10212,28,39102.9,5,39102.9,28,1662,28,318,1396.5321428571428,59.357142857142854,2.680251572327044,44916.68966037736,0.6263413789724424,Monday,Night,0.21428571428571427,United Kingdom,4,4,4,12,44,Champions,2,Potential Loyalists
10215,9,8520.83,47,8520.83,9,524,9,295,946.7588888888889,58.22222222222222,0.928677966101695,10550.809431864407,1.0360409083939988,Sunday,Morning,0.4444444444444444,United Kingdom,1,1,1,3,11,At Risk,3,Hibernating
10217,14,18441.11,42,18441.11,14,887,14,310,1317.222142857143,63.357142857142854,1.3747096774193548,21729.576325161288,0.91726609239709,Friday,Evening,0.14285714285714285,United Kingdom,1,3,2,6,13,At Risk,3,Hibernating
10231,10,17165.46,61,17165.46,10,673,10,120,1716.5459999999998,67.3,2.5366666666666666,52251.66024,0.4880937971873499,Sunday,Morning,0.5,United Kingdom,1,1,2,4,11,At Risk,0,Champions
10233,12,13553.8,9,13553.8,12,769,12,343,1129.4833333333333,64.08333333333333,1.0649562682215745,14434.204268221578,0.8598174951616666,Friday,Morning,0.3333333333333333,United Kingdom,3,2,1,6,32,Potential Loyalists,3,Hibernating
10236,9,9832.119999999999,25,9832.119999999999,9,490,9,347,1092.4577777777777,54.44444444444444,0.7895100864553315,10350.077214985591,0.895626027910142,Saturday,Morning,0.2222222222222222,United Kingdom,2,1,1,4,21,Customers Needing Attention,3,Hibernating
10238,18,37517.77,24,37517.77,18,1223,18,339,2084.3205555555555,67.94444444444444,1.616283185840708,40426.2272141593,0.38675723697122244,Tuesday,Afternoon,0.2222222222222222,United Kingdom,2,4,4,10,24,Loyal Customers,2,Potential Loyalists
10240,24,36657.76,12,36657.76,24,1567,24,304,1527.4066666666668,65.29166666666667,2.403157894736842,44047.192673684214,0.7776566814865266,Friday,Night,0.2916666666666667,United Kingdom,3,4,4,11,34,Champions,2,Potential Loyalists
10241,12,24754.0,37,24754.0,12,781,12,240,2062.8333333333335,65.08333333333333,1.522,37675.588,0.5908601548896725,Sunday,Evening,0.5,United Kingdom,2,2,3,7,22,Customers Needing Attention,0,Champions
10246,10,14582.12,46,14582.12,10,613,10,303,1458.212,61.3,1.0046204620462047,17579.395358415844,0.37496360369538617,Tuesday,Afternoon,0.1,United Kingdom,1,1,2,4,11,At Risk,3,Hibernating
10247,9,14487.99,35,14487.99,9,459,9,330,1609.7766666666666,51.0,0.8301818181818182,16036.88784,1.1299269861415575,Monday,Night,0.1111111111111111,United Kingdom,2,1,2,5,21,Customers Needing Attention,3,Hibernating
10248,9,13288.289999999999,34,13288.289999999999,9,505,9,278,1476.4766666666665,56.111111111111114,0.9854676258992806,17460.2394647482,1.0506422586304847,Friday,Evening,0.3333333333333333,United Kingdom,2,1,1,4,21,Customers Needing Attention,3,Hibernating
10250,12,12115.71,16,12115.71,12,544,12,341,1009.6424999999999,45.333333333333336,1.0712023460410558,12978.376975953079,0.875655672006075,Friday,Afternoon,0.3333333333333333,United Kingdom,3,2,1,6,32,Potential Loyalists,3,Hibernating
10251,11,20288.75,77,20288.75,11,566,11,275,1844.4318181818182,51.45454545454545,1.2176,26949.362181818185,0.6798379430256105,Friday,Night,0.2727272727272727,United Kingdom,1,2,3,6,12,At Risk,0,Champions
10254,13,18215.29,9,18215.29,13,580,13,355,1401.176153846154,44.61538461538461,1.1147042253521129,18742.76374985916,0.7576415627647505,Thursday,Night,0.3076923076923077,United Kingdom,3,2,2,7,32,Potential Loyalists,3,Hibernating
10255,11,12211.33,14,12211.33,11,513,11,343,1110.120909090909,46.63636363636363,0.9762099125364433,13004.532426822158,0.7615495784461083,Friday,Night,0.36363636363636365,United Kingdom,3,2,1,6,32,Potential Loyalists,3,Hibernating
10257,11,17869.11,36,17869.11,11,688,11,298,1624.4645454545455,62.54545454545455,1.1236241610738256,21903.451344966445,0.7704770464156091,Saturday,Evening,0.36363636363636365,United Kingdom,2,2,2,6,22,Customers Needing Attention,3,Hibernating
10258,11,25500.78,30,25500.78,11,734,11,341,2318.252727272727,66.72727272727273,0.9819354838709679,27316.495361876834,0.617135156069724,Sunday,Evening,0.2727272727272727,United Kingdom,2,2,3,7,22,Customers Needing Attention,3,Hibernating
10259,9,16815.39,22,16815.39,9,662,9,346,1868.3766666666666,73.55555555555556,0.7917919075144508,17752.386298265894,0.8502003578690303,Thursday,Afternoon,0.3333333333333333,United Kingdom,2,1,2,5,21,Customers Needing Attention,3,Hibernating
10277,9,9547.76,26,9547.76,9,533,9,314,1060.8622222222223,59.22222222222222,0.872484076433121,11107.024754140126,0.8930100654462273,Sunday,Night,0.4444444444444444,United Kingdom,2,1,1,4,21,Customers Needing Attention,3,Hibernating
10278,17,21670.27,17,21670.27,17,1009,17,349,1274.7217647058824,59.35294117647059,1.4827507163323783,22681.13531690545,0.6496212202541782,Thursday,Afternoon,0.29411764705882354,United Kingdom,3,3,3,9,33,Champions,3,Hibernating
10280,9,13354.130000000001,2,13354.130000000001,9,616,9,342,1483.7922222222223,68.44444444444444,0.8010526315789473,14263.147971929824,0.8593948559434613,Monday,Night,0.2222222222222222,United Kingdom,4,1,1,6,41,Potential Loyalists,3,Hibernating
10281,43,70443.69,15,70443.69,43,2602,43,354,1638.2253488372094,60.51162790697674,3.6975141242937855,72688.33639322035,0.6117179664695255,Thursday,Evening,0.3023255813953488,United Kingdom,3,4,4,11,34,Champions,1,At-Risk Customers
10286,11,15349.76,34,15349.76,11,646,11,293,1395.4327272727273,58.72727272727273,1.1427986348122867,19136.383388395905,0.8714451591022638,Saturday,Evening,0.5454545454545454,United Kingdom,2,2,2,6,22,Customers Needing Attention,3,Hibernating
10287,13,16755.29,21,16755.29,13,644,13,316,1288.8684615384616,49.53846153846154,1.2522784810126582,19368.266870886073,0.9940512776235964,Tuesday,Night,0.0,United Kingdom,2,2,2,6,22,Customers Needing Attention,3,Hibernating
10288,15,19822.1,3,19822.1,15,948,15,350,1321.4733333333331,63.2,1.3045714285714285,20687.476251428565,0.5622900035113777,Friday,Night,0.2,United Kingdom,4,3,3,10,43,Champions,3,Hibernating
10289,12,20779.34,1,20779.34,12,826,12,364,1731.6116666666667,68.83333333333333,1.0035164835164836,20852.41020659341,1.171344702811085,Thursday,Morning,0.08333333333333333,United Kingdom,4,2,3,9,42,Potential Loyalists,3,Hibernating
10292,10,17522.94,26,17522.94,10,630,10,345,1752.2939999999999,63.0,0.8823188405797102,18552.984125217394,0.7619787700381828,Friday,Night,0.2,United Kingdom,2,1,2,5,21,Customers Needing Attention,3,Hibernating
10295,9,15397.82,94,15397.82,9,634,9,278,1710.868888888889,70.44444444444444,0.9854676258992806,20232.07082589928,0.6484573517887796,Thursday,Afternoon,0.2222222222222222,United Kingdom,1,1,2,4,11,At Risk,0,Champions
10297,13,22013.41,9,22013.41,13,747,13,362,1693.3392307692307,57.46153846153846,1.0931491712707182,22212.86852154696,0.7357875713236971,Friday,Night,0.3076923076923077,United Kingdom,3,2,3,8,32,Potential Loyalists,3,Hibernating
10298,25,51198.03,3,51198.03,25,1704,25,356,2047.9212,68.16,2.1376404494382024,52532.630332584275,0.5163674683555336,Tuesday,Night,0.32,United Kingdom,4,4,4,12,44,Champions,2,Potential Loyalists
10299,12,14686.560000000001,5,14686.560000000001,12,552,12,351,1223.88,46.0,1.040683760683761,15284.064492307698,1.1565229677734084,Tuesday,Afternoon,0.3333333333333333,United Kingdom,4,2,2,8,42,Potential Loyalists,3,Hibernating
10301,11,22608.59,32,22608.59,11,737,11,258,2055.3263636363636,67.0,1.297829457364341,32009.55719069767,0.8054498382643316,Saturday,Morning,0.5454545454545454,United Kingdom,2,2,3,7,22,Customers Needing Attention,3,Hibernating
10308,13,13801.42,17,13801.42,13,910,13,306,1061.6476923076923,70.0,1.293202614379085,16475.106854901962,1.271101391166811,Tuesday,Night,0.07692307692307693,United Kingdom,3,2,1,6,32,Potential Loyalists,3,Hibernating
10309,14,17969.579999999998,19,17969.579999999998,14,833,14,303,1283.5414285714285,59.5,1.4064686468646865,21663.129314851485,0.5024443319689299,Friday,Morning,0.35714285714285715,United Kingdom,3,3,2,8,33,Champions,3,Hibernating
10313,17,30080.89,6,30080.89,17,1006,17,355,1769.4641176470589,59.1764705882353,1.4576901408450706,30951.96478647888,0.9276435607620256,Saturday,Morning,0.35294117647058826,United Kingdom,4,3,4,11,43,Champions,2,Potential Loyalists
10320,10,12866.01,58,12866.01,10,509,10,257,1286.601,50.9,1.1844357976653697,18286.755380544746,0.77826654588991,Monday,Afternoon,0.2,United Kingdom,1,1,1,3,11,At Risk,0,Champions
10321,11,16545.34,6,16545.34,11,597,11,323,1504.1218181818183,54.27272727272727,1.036656346749226,18711.08914922601,0.8141505744856712,Thursday,Night,0.2727272727272727,United Kingdom,4,2,2,8,42,Potential Loyalists,3,Hibernating
10322,9,11433.93,23,11433.93,9,558,9,318,1270.4366666666667,62.0,0.8615094339622642,13133.91808301887,1.044160940094999,Thursday,Night,0.4444444444444444,United Kingdom,2,1,1,4,21,Customers Needing Attention,3,Hibernating
10323,11,16549.99,4,16549.99,11,741,11,273,1504.5445454545456,67.36363636363636,1.2265201465201465,22144.250356043958,0.780889878085192,Monday,Morning,0.36363636363636365,United Kingdom,4,2,2,8,42,Potential Loyalists,3,Hibernating
10325,8,10365.75,5,10365.75,8,537,8,294,1295.71875,67.125,0.8282993197278912,12878.915510204082,0.7352319041638821,Friday,Evening,0.375,United Kingdom,4,1,1,6,41,Potential Loyalists,3,Hibernating
10327,12,10828.65,38,10828.65,12,535,12,332,902.3874999999999,44.583333333333336,1.1002409638554218,11914.124313253013,0.807931452294364,Monday,Evening,0.25,United Kingdom,2,2,1,5,22,Customers Needing Attention,3,Hibernating
10328,13,27923.809999999998,23,27923.809999999998,13,999,13,315,2147.9853846153846,76.84615384615384,1.2562539682539684,32380.981958095243,0.7402072806572784,Saturday,Afternoon,0.3076923076923077,United Kingdom,2,2,4,8,22,Customers Needing Attention,3,Hibernating
10329,9,8863.04,14,8863.04,9,421,9,351,984.7822222222223,46.77777777777778,0.7805128205128206,9223.6217982906,1.3303776140892671,Wednesday,Night,0.1111111111111111,United Kingdom,3,1,1,5,31,Potential Loyalists,3,Hibernating
